feature,coeff
numeric__Order,0.0
numeric__PID,-512.7827303637835
numeric__MS SubClass,-5979.945193121643
numeric__Lot Area,4234.471881023715
numeric__Overall Qual,13550.38224080027
numeric__Overall Cond,5764.571937199132
numeric__Year Built,10800.267157440037
numeric__Year Remod/Add,1435.1356283977468
numeric__1st Flr SF,2947.1109186487347
numeric__2nd Flr SF,0.0
numeric__Low Qual Fin SF,-1308.8315302507604
numeric__Gr Liv Area,30101.7961906897
numeric__Full Bath,1932.967819074694
numeric__Half Bath,1405.9900912610021
numeric__Bedroom AbvGr,-2687.9920032124146
numeric__Kitchen AbvGr,-1531.1750543130531
numeric__TotRms AbvGrd,-359.9162184733922
numeric__Fireplaces,3162.8217898035014
numeric__Wood Deck SF,1809.159074743609
numeric__Open Porch SF,-2.8191154744419973
numeric__Enclosed Porch,783.968049581821
numeric__3Ssn Porch,307.25106260896206
numeric__Screen Porch,3600.2412102475314
numeric__Pool Area,1808.273635256434
numeric__Misc Val,-3850.900194624673
numeric__Mo Sold,-160.37722245006893
numeric__Yr Sold,-1167.5504511807308
categorical__MS Zoning_A (agr),0.0
categorical__MS Zoning_C (all),-0.0
categorical__MS Zoning_FV,0.0
categorical__MS Zoning_I (all),0.0
categorical__MS Zoning_RH,0.0
categorical__MS Zoning_RL,895.2886186700722
categorical__MS Zoning_RM,-1454.577223252943
categorical__Street_Grvl,-0.0
categorical__Street_Pave,0.0
categorical__Alley_Grvl,0.0
categorical__Alley_Pave,-0.0
categorical__Lot Shape_IR1,-0.0
categorical__Lot Shape_IR2,3669.5552240221
categorical__Lot Shape_IR3,-0.0
categorical__Lot Shape_Reg,0.0
categorical__Land Contour_Bnk,-8569.691500646606
categorical__Land Contour_HLS,4937.342068896014
categorical__Land Contour_Low,-0.0
categorical__Land Contour_Lvl,0.0
categorical__Utilities_AllPub,0.0
categorical__Utilities_NoSeWa,0.0
categorical__Utilities_NoSewr,0.0
categorical__Lot Config_Corner,0.0
categorical__Lot Config_CulDSac,4362.77174716933
categorical__Lot Config_FR2,-0.0
categorical__Lot Config_FR3,-0.0
categorical__Lot Config_Inside,-0.0
categorical__Land Slope_Gtl,0.0
categorical__Land Slope_Mod,2375.619250651083
categorical__Land Slope_Sev,-814.2686714180735
categorical__Neighborhood_Blmngtn,-0.0
categorical__Neighborhood_Blueste,0.0
categorical__Neighborhood_BrDale,0.0
categorical__Neighborhood_BrkSide,3544.717443766896
categorical__Neighborhood_ClearCr,-0.0
categorical__Neighborhood_CollgCr,0.0
categorical__Neighborhood_Crawfor,12027.880981248922
categorical__Neighborhood_Edwards,-4554.268036632262
categorical__Neighborhood_Gilbert,-4096.131049158676
categorical__Neighborhood_Greens,0.0
categorical__Neighborhood_GrnHill,5667.921740397057
categorical__Neighborhood_IDOTRR,-0.0
categorical__Neighborhood_Landmrk,0.0
categorical__Neighborhood_MeadowV,-0.0
categorical__Neighborhood_Mitchel,-2943.13964069619
categorical__Neighborhood_NAmes,-1349.0975430324477
categorical__Neighborhood_NPkVill,0.0
categorical__Neighborhood_NWAmes,-3563.1858685426255
categorical__Neighborhood_NoRidge,40056.83929893272
categorical__Neighborhood_NridgHt,25266.73610882527
categorical__Neighborhood_OldTown,-1832.557563267818
categorical__Neighborhood_SWISU,-0.0
categorical__Neighborhood_Sawyer,465.2289573936594
categorical__Neighborhood_SawyerW,-160.6588182491256
categorical__Neighborhood_Somerst,12363.009157648437
categorical__Neighborhood_StoneBr,39546.89624683881
categorical__Neighborhood_Timber,-0.0
categorical__Neighborhood_Veenker,-0.0
categorical__Condition 1_Artery,-1892.7706017883156
categorical__Condition 1_Feedr,-15.017375297962746
categorical__Condition 1_Norm,6247.559795086265
categorical__Condition 1_PosA,0.0
categorical__Condition 1_PosN,7679.251491518609
categorical__Condition 1_RRAe,-0.0
categorical__Condition 1_RRAn,0.0
categorical__Condition 1_RRNe,0.0
categorical__Condition 1_RRNn,-0.0
categorical__Condition 2_Artery,0.0
categorical__Condition 2_Feedr,-0.0
categorical__Condition 2_Norm,-0.0
categorical__Condition 2_PosA,0.0
categorical__Condition 2_PosN,0.0
categorical__Condition 2_RRAe,0.0
categorical__Condition 2_RRAn,0.0
categorical__Condition 2_RRNn,0.0
categorical__Bldg Type_1Fam,6732.4900637951905
categorical__Bldg Type_2fmCon,14330.048440650566
categorical__Bldg Type_Duplex,-0.0
categorical__Bldg Type_Twnhs,-3329.9914307864287
categorical__Bldg Type_TwnhsE,-0.0
categorical__House Style_1.5Fin,-721.1368079684197
categorical__House Style_1.5Unf,0.0
categorical__House Style_1Story,3994.5262999788515
categorical__House Style_2.5Fin,0.0
categorical__House Style_2.5Unf,0.0
categorical__House Style_2Story,-28.630488443032178
categorical__House Style_SFoyer,5033.198980037427
